model,comparison,left_method,right_method,dataset_name,stage,metric,left_value,right_value,delta
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0004_seed42,stage2,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0005_seed42,stage2,accuracy,0.3951219512195122,0.3951219512195122,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0006_seed42,stage2,accuracy,0.9545454545454546,0.9545454545454546,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0007_seed42,stage2,accuracy,0.7622950819672131,0.7254098360655737,0.03688524590163933
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0008_seed42,stage2,accuracy,0.9320498301245753,0.9320498301245752,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0009_seed42,stage2,accuracy,0.542713567839196,0.5452261306532663,-0.002512562814070307
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0010_seed42,stage2,accuracy,0.9539748953974896,0.952928870292887,0.0010460251046026103
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0011_seed42,stage2,accuracy,0.9912280701754386,0.9912280701754386,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0012_seed42,stage2,accuracy,0.590204081632653,0.590204081632653,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0013_seed42,stage2,accuracy,0.9005847953216374,0.9005847953216374,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0014_seed42,stage2,accuracy,0.9987261146496815,0.9987261146496816,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0015_seed42,stage2,accuracy,0.8872180451127819,0.8872180451127819,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0016_seed42,stage2,accuracy,0.9741676234213548,0.9758897818599312,-0.001722158438576482
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0017_seed42,stage2,accuracy,0.5104477611940299,0.508955223880597,0.0014925373134329067
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0018_seed42,stage2,accuracy,0.9928366762177651,0.9928366762177652,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0019_seed42,stage2,accuracy,0.8924581005586593,0.8896648044692738,0.0027932960893854997
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0020_seed42,stage2,accuracy,1.0,1.0,0.0
